,BTC,long,short,mix,short_if_neg_day,mix2
2018-12-30,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-31,0.0,0.0,0.0008910607843678475,0.0,0.0,0.0
2019-01-01,0.02224700729294704,0.03773379261165499,0.005525225943923462,0.039587458675477236,0.004634165159555614,0.040514291707388364
2019-01-02,0.03774952837256218,0.058556966681626056,0.018153699988159966,0.0654620223631429,0.004634165159555614,0.06133746577735943
2019-01-03,0.02248888216816547,0.06651640086934336,0.0194360962112623,0.07393441504010115,0.005916561382657948,0.07006633769893814
2019-01-04,0.032959781330811344,0.08375922449019199,0.01477010838071946,0.08931084352873263,0.0012505735521151085,0.08450956862146106
2019-01-05,0.02048769218380886,0.0727784721528062,0.01621799123044948,0.07890924433123885,0.0026984564018451285,0.07439754599391327
2019-01-06,0.0788083976796381,0.0712634250314036,0.020123614168365556,0.07895644638500267,0.0026984564018451285,0.07288249887251066
2019-01-07,0.06776747127494787,0.06161316307931797,0.02783066707595544,0.072389005595953,0.00603596027829062,0.06523473924629233
2019-01-08,0.08048090430756094,0.05862024098965598,0.01907927034462792,0.06589552481376,0.00603596027829062,0.062241817156630345
2019-01-09,0.08023052874421588,0.06233523414188976,0.0063700543045415725,0.06452683154995925,-0.006673255761795727,0.05833128068481232
2019-01-10,-0.027708364318644207,0.06623161358544549,0.004923873095747211,0.06784473850999723,-0.008119436970590088,0.06135995140309143
2019-01-11,-0.019420885374231478,0.055410013813158354,0.0003574480938215441,0.05519656873693983,-0.008119436970590088,0.05053835163080429
2019-01-12,-0.020620934378553057,0.051080991373193885,-0.0018603445492411108,0.049980429239750296,-0.010337229613652743,0.04487865360500223
2019-01-13,-0.0454034255067558,0.051014882458553866,-0.016745300081302428,0.04396033811228575,-0.02522218514571406,0.03588157137112542
2019-01-14,-0.008502750609448495,0.04601781810259564,-0.015475616842120121,0.03947114705200045,-0.02522218514571406,0.0308845070151672
2019-01-15,-0.02360171956793089,0.028891975476165472,-0.015818846610454962,0.022208012518236345,-0.0255654149140489,0.013552726527736127
2019-01-16,-0.023288225027494502,0.03983016047607535,-0.00637950663348541,0.036921933508934045,-0.02211359604023827,0.02656200285193238
2019-01-17,-0.01855929882952323,0.0411086199844618,-0.003762254457276959,0.039247293887803875,-0.02211359604023827,0.027840462360318834
2019-01-18,-0.01410049610578279,0.0486341805353017,-0.008226793310560976,0.04498703889733016,-0.026578134893522287,0.03268729959918832
2019-01-19,0.006125973813755237,0.046227065872449326,-0.010170104533218705,0.0418025997454147,-0.026578134893522287,0.030280184936335948
2019-01-20,-0.03643288432610181,0.05465918264827929,-0.005701225758128758,0.05202226803128065,-0.02210925611843234,0.04139362897721988
2019-01-21,-0.03619161336746102,0.054886228446583495,0.002170862284631314,0.055398149046688876,-0.02210925611843234,0.041620674775524086
2019-01-22,-0.023092341546219752,0.05199254992162291,0.0006568626361346253,0.051898870662329614,-0.02210925611843234,0.0387269962505635
2019-01-23,-0.03161610331786202,0.043724901217145305,0.0010057733267482827,0.04377078623409748,-0.021481696320259702,0.03083588342498948
2019-01-24,-0.023047314277323427,0.04097931716969849,-0.0004232659797507865,0.04045358646405104,-0.021481696320259702,0.02809029937754267
2019-01-25,-0.02229659717441923,0.044749976797125376,-0.0036094177353572787,0.04294978538923532,-0.024667848075866194,0.029949267951605657
2019-01-26,-0.02429794073373226,0.04204348639103994,-0.0051744472659963625,0.03961728317089426,-0.026232877606505278,0.026303759827136772
2019-01-27,-0.04854172482830732,0.03758317539844869,0.01547449767174891,0.04341655015340111,-0.0055839326687600055,0.03423281579719268
2019-01-28,-0.07048762323043911,0.053914727770666526,0.026528483275660486,0.06416969676718359,0.00547005293515157,0.05719675953175747
2019-01-29,-0.06344607338414143,0.050680482038923835,0.02355054381078775,0.05974427524949181,0.00332144380728705,0.052673348323296065
2019-01-30,-0.057451828326329,0.05000945753786934,0.01638765641288814,0.05620809578927747,0.00332144380728705,0.05200232382224157
2019-01-31,-0.07271843155036806,0.04936624913436042,0.034265919309053705,0.06271619254423477,0.021199706703452614,0.06208607315643199
2019-02-01,-0.05970141132054241,0.05325541047384663,0.038649650951250114,0.06835884654059954,0.021199706703452614,0.0659752344959182
